Id,Sex,НЕВЕРОТН 1  Невероятные приключения итальянцев в России,ТЕЛОХРАН 2  Телохранитель,КАВКАЗСК 3  Кавказская пленница или Новые приключения Шурика,ПТЫЙ_ЭЛЕ 4  Пятый элемент,ТЕРМИНАТ 5  Терминатор,КРЕПКИЙ 6  Крепкий орешек,ПОЛИЦ_АК 7  Полицейская академия,ЧУЖИЕ 8  Чужие,КРОКОДИЛ 9  Крокодил Данди,ЗДРАВСТВ 10  Здравствуйте  я ваша тетя!,ИРОНИ_СУ 11  Ирония судьбы или с легким паром,КРАСОТКА 12  Красотка,МАТРИЦА 13  Матрица,ТИТАНИК 14  Титаник,К_9 15  К-9,НАЗАД_В 16  Назад в будущее,САМА_ОБА 17  Сама обательная и привлекательна,БЛИЗНЕЦЫ 18  Близнецы,СОБАЧЬЕ 19  Собачье сердце,СОБАКА_Б 20  Собака Баскервилей,МЕСТО_ВС 21  Место встречи изменить нельзя,ГОРЕЦ 22  Горец,СЛУЖЕБНЫ 23  Служебный роман,ОС_РЫБ 25  Особенности национальной рыбалки,ОС_ОХОТЫ 26  Особенности национальной охоты,ДЕСТЬ_НЕ 27  Десть негритят,ТЕРМИНA2 28  Терминатор 2: судный день,ВОКЗАЛ_Д 29  Вокзал для двоих,ГЕНИЙ 30  Гений,ИВАН_ВАС 31  Иван Васильевич меняет профессию,РОККИ 32  Рокки,ОДИН_ДОМ 33  Один дома,САМОГОНЩ 34  Самогонщики,ОБЫКНОВЕ 35  Обыкновенное чудо,В_БОЙ_ИД 36  В бой идут одни старики,ПАРК_ЮРС 37  Парк Юрского периода,МОСКВА_С 38  Москва слезам не верит,БЕЛОЕ_СО 39  Белое солнце пустыни,ЛЮДИ_В_Ч 40  Люди в черном,ОДИН_ДМ2 41  Один дома 2: потерянный в Нью-Йорке,ХИЩНИК 42  Хищник,ВСПОМНИТ 43  Вспомнить все,ИНТЕРДЕВ 44  Интердевочка,ЧЕЛЮСТИ 45  Челюсти,ЛЕОН 46  Леон,ПОЛИЦ_ДС 47  Полицейский из детского сада,ОТ_ЗАКАТ 48  От заката до рассвета,ПРАВДИВА 49  Правдивая ложь,АРМАГЕДД 50  Армагеддон,А_ЗОРИ_З 51  А зори здесь тихие,ДВОЙНОЙ 52  Двойной удар,МАСКА 53  Маска,БЛЕФ 54  Блеф,ДЕНЬ_СУР 56  День сурка,БЕГУЩИЙ 57  Бегущий человек,ЗИМН_ВИШ 58  Зимняя вишня,ТУТСИ 59  Тутси,НА_ДЕРИБ 60  На Дерибасовской хороша погода или на Брайтон Бич всегда идут дожди,ТРИ_ПЛЮС 61  Три плюс два,ЧАРОДЕИ 62  Чародеи,БАБНИК 63  Бабник,ЗУБАСТИК 64  Зубастики,ИГРУШКА 65  Игрушка (Франция),ВЫСОКИЙ 66  Высокий блондин в черном ботинке,ГАЗОНОКО 67  Газонокосильщик,ЧЕЛОВЕК 68  Человек дождя,МАЛЕНЬКИ 69  Маленький гигант большого секса,ПОКРОВСК 70  Покровские ворота,КРЕПК_2 71  Крепкий орешек 2,СИБИРСКИ 72  Сибирский цирюльник,МОЛЧАНИЕ 73  Молчание ягнят,ЭКИПАЖ 74  Экипаж,КОММАНДО 75  Коммандос,ФОРРЕСТ 76  Форрест Гамп,ДОРОГА_ 77  Дорогая  я уменьшил детей,УКРОЩЕНИ 78  Укрощение строптивого,ПРОФЕССИ 79  Профессионал,ДЖУМАНДЖ 80  Джуманджи,ГОРЧИЕ_Г 81  Горячие головы,ПОСЛЕДНИ 82  Последний бойскаут,ДЖЕНТЛЬМ 83  Джентльмены удачи,СПИСОК_Ш 84  Список Шиндлера,В_ДЖАЗЕ 85  В джазе только девушки,ЗВЕЗДНЫЙ 86  Звездный десант,ОТПЕТЫЕ 87  Отпетые мошенники,АДВОКАТ 88  Адвокат дьявола,ПАПАШИ 89  Папаши,ЕСЛИ_НАС 90  Если наступит завтра,В_ЗОНЕ_О 91  В зоне особого внимания,ГРЗНЫЕ_Т 92  Грязные танцы,СОРОК_ВО 93  Сорок восемь,ЗАХВАТ 94  Захват,БЕТХОВЕН 95  Бетховен,ДОСПЕХИ 96  Доспехи Бога,ЧАСТНЫЙ 97  Частный детектив или операция-кооперация,ШЕСТОЕ_Ч 98  Шестое чувство,СКАЛОЛАЗ 99  Скалолаз,ГАРАЖ 100  Гараж,МЭВЕРИК 101 Мэверик,ИНТРОВЕР 102 Интроверсия-Экстраверсия (тест Айзенка),ЭМОЦИОНА 103 Эмоциональная устойчивость-Невротизм (тест Айзенка),E_I__КЕЙ 104 E/I (тест Кейpси),S_N__КЕЙ 105 S/N (тест Кейpси),T_F__КЕЙ 106 T/F (тест Кейpси),J_P__КЕЙ 107 J/P (тест Кейpси),ЗАМКНУТО 108 Замкнутость-Общительность (тест Кэттелла),УРОВЕНЬ 109 Уровень интеллекта (тест Кэттелла),ЭМОЦИОНА 110 Эмоциональная неустойчивость-Устойчивость (тест Кэттелла),НЕДОБРОС 111 Недобросовестность-Высокая совестливость (тест Кэттелла),ПОДЧИНЕН 112 Подчиненность-Доминантность (тест Кэттелла),ОЗАБОЧЕН 113 Озабоченность-Беспечность (тест Кэттелла),РОБОСТЬ_ 114 Робость-Смелость (тест Кэттелла),ЖЕСТКОСТ 115 Жесткость-Чувствительность (тест Кэттелла),ДОВЕРЧИВ 116 Доверчивость-Подозрительность (тест Кэттелла),ПРАКТИЧН 117 Практичность-Мечтательность (тест Кэттелла),ПРМОЛИНЕ 118 Прямолинейность-Дипломатичность (тест Кэттелла),САМОУВЕР 119 Самоуверенность-Тревожность (тест Кэттелла),КОНСЕРВА 120 Консерватизм-Радикализм (тест Кэттелла),ЗАВИСИМО 121 Зависимость от группы-Самостоятельность (тест Кэттелла),НИЗКИЙ_В 122 Низкий-Высокий самоконтроль поведения (тест Кэттелла),РАССЛАБЛ 123 Расслабленность-Напряженность (тест Кэттелла),IQ 124 IQ,ВЕРБАЛЬН 125 Вербальный интеллект,ЧИСЛОВОЙ 126 Числовой интеллект,ПРОСТРАН 127 Пространственный интеллект,РАВЕН 128 Невербальный интеллект (тест Равена),ОСВЕДОМЛ 129 Осведомленность (тест Амтхауэра),КЛАССИФИ 130 Классификация (тест Амтхауэра),АНАЛОГИИ 131 Аналогии (тест Амтхауэра),ОБОБЩЕНИ 132 Обобщение (тест Амтхауэра),МАТЕМАТ1 133 Математические способности (практическое мышление) (тест Амтхауэра),МАТЕМАТ2 134 Математические способности (теоретическое мышление) (тест Амтхауэра),КОМБИНАТ 135 Комбинаторное мышление (тест Амтхауэра),ПРОСТРАН 136 Пространственное воображение (тест Амтхауэра),ЗАПОМИНА 137 Запоминание и воспроизведение информации (тест Амтхауэра),ВОЗPАСТ 139 Возpаст,AGE_CAT 139,ОБPАЗОВА 140 Обpазование,EDU_CAT 140,УPОВЕНЬ 141 Уpовень доходов,АСИММЕТP 142 Асимметpия полушаpий,АКТИВНОС 181 Активность и сила (ЛД),ДОБРОСЕР 182 Добросердечность (ЛД),ТРУДОВЫЕ 183 Трудовые качества (ЛД),ОБЩА_ОЦЕ 184 Общая оценка (ЛД),ОБЩИТЕЛЬ 185 Общительность и эмоциональность (ЛД),АНЕКДОТЫ 186 Анекдоты (оценка чувства юмора),ТЮФ 187 ТЮФ (оценка чувства юмора),ФОТО_СPЕ 188 Фото-сpедняя оценка,ФОТО_СКО 189 Фото-СКО,ФОТО_ЗАН 190 Фото-занижение-завышение оценки,РУКА_ПЕР 191 Рука-переплетение пальцев рук - ведущая,РУКА_ИМИ 192 Рука-имитация аплодисментов - ведущая,РУКА_СКР 193 Рука-скрещивание рук на груди - ведущая,HОГА 194 Hога - ведущая,ГЛАЗ 195 Глаз - ведущая,РУКОЙ_ПИ 196 Рука  которой пишут,ПЕРЕУЧИВ 197 Переучивали ли писать  если левша,САМООПPЕ 198 Самоопpеделение пpавша-левша,БОК_ПРЕД 199 Бок  на котором предпочитают спать,ГЛАЗ_У_В 200 Глаз  который обычно шире открыт
1,2,5,6,8,11.7,8.7,8,8,5,3,8,9,8.8,7.7,7,9.4,4,9,3,7,9.8,8.4,6.6,10,5,7.5,6.1,10.4,6,9,10,6.5,7.3,5,9,9,8,9,7.5,4,6,8.1,8.7,4,6.5,6,5.4,8,9,10,8.2,7.5,7.5,7,6,7,7,8.6,4,6,6.5,2,5,6,6,2,8,1,11,10,9,5,4,7,6,5,7,5,4,7.9,10,6.5,,10,8,8,8.3,5,8.4,10,9,8.3,12,8.5,4,4,8.8,7,1.1,,18,6,6,12,12,19,12,7,12,7,7,7,12,6,5,6,5,2,7,6,9,2,112.5,170,87.5,,131,20,20,,20,20,,19,,20,30,3,5,3,2,4,0.735,0.333,1.332,-0.178,0.938,6.077,5.52,4.095,1.187,-0.206,1,2,2,2,2,1,4,1,2,2
2,1,7,7,7,10,3,9,6.2,12,2,11,12,8,11,6,4,8,,5,10,10,9,11,11,2,5,6,2,12,8,10,1,4,7,12,11,5,12,12,,6,1,10,6,2,11,2.3,12,9,8,7,5,7,8,11,8,,12,4,4,8,3,3,2,8,4,11,7,12,8,,12,12,2,11,7,11.7,10,,7,9,10,,12,5,11,7.4,5.4,10,11,10,4,8,3,5,4,,4.5,10,8,17,15,4,6,4,8,11,4,8,8,7,8,7,7,8,6,3,9,9,2,6,7,135,170,,141.68,84,17,12,9,,,,,,,27,3,5,3,1,1,-0.034,1.164,0.004,0.349,-0.231,6.558,4.4,4.157,1.953,-0.156,1,1,1,1,2,1,1,2,2,3
3,1,12,7,6,10,7,8,7,6,7,6,6,6,10,7,6,9,4,6,8,6,11,8,3,7,8,8,8,3,7,7,4,5,5,9,8,6,4,11,7,4,6,6,7,3,9,6,10,7,10,8,6,8,6,8,7,6,5,7,6,7,5,5,5,6,5,7,6,4,10,7,9,9,6,11,4,8,7,8,9,7,8,7,7,8,7,10,7,8,8,7.5,6,9,8,8,,11,8,6,4,11,3,4,12,12,18,8,3,10,5,5,11,8,9,5,6,4,5,8,6,6,6,162.5,187.5,,,137,15,12,,,,,,,,31,4,5,3,2,3,-0.457,-0.703,1.264,0.312,0.958,7.365,5.98,6.333,1.7,1.377,2,1,2,1,2,1,4,2,3,2
4,1,7,8,12,7,12,11,9,12,10,6,12,6,9,,10,12,9,6,10,9,12,9,12,8,12,8,9,10,11,12,7,7,8,12,10,6,12,12,10,6,7,11,8,,9,7,9,12,7,9,,7,12,11,9,7,10,6,8,9,12,5,10,,5,4,10,7,12,6,10,9,10,12,,10,9,8,12,10,12,9,9,10,12,9,,9,10,,8,9,,7,6,7,10,12,10,14,6,8,13,15,19,9,7,10,9,10,10,10,10,6,8,6,5,7,5,11,2,,162.5,135,,97,,14,18,15,17,13,19,,,33,4,5,3,3,5,0.912,0.241,0.536,0.133,0.721,7.75,,5.74,1.662,1.408,2,2,1,2,2,1,,1,3,1
5,1,5,9,2,11,8,6,2,3,4,5,6,6,10,6,4,5,5,3,12,7,8,3,6,7,8,5,11,8,10,7,4,2,3,4,4,9,5,5,8,4,9,10,9,4,4,7,4,8,7,7,4,7,8,10,8,5,7,,5,3,6,2,7,3,6,10,7,6,6,7,8,4,10,12,6,8,8,8,8,5,,5,,4,10,,,11,5,5,8,,,5,,,,,,12,9,8,12,12,13,7,5,10,6,4,10,8,5,6,5,3,6,8,5,9,5,127.5,182.5,127.5,133.52,128,15,15,14,13,12,,,20,,33,4,5,3,2,4,0.542,0.248,0.814,0.356,-0.342,5.615,5.98,4.222,1.635,0.218,1,2,2,2,2,1,4,1,1,2
6,1,9,8,8,11,7,10,8,10,11,9,8,7,11,11,9,8,6,9,9,7,9,7,10,5,6,11,11,7,10,9,6,12,11,7,8,8,9,8,11,6,9,6,8,8,12,7,10,7,9,8,6,8,6,9,8,7,6,6,9,8,4,8,11,9,10,12,4,10,10,10,12,7,7,12,7,10,12,12,6,8,,10,11,8,9,,8,12,6,,7,,,8,,12,,,6,10,16,4,8,13,12,6,4,5,3,6,5,6,6,3,8,7,6,8,8,5,5,130,147.5,157.5,141.68,106,16,14,16,18,18,14,19,20,18,19,1,4,2,1,3,-1.239,0.445,-2.093,0.756,0.335,,3.38,,,,1,2,1,2,2,1,4,1,3,2
7,2,7,10,7,8,8,10,8,6,9,8,8,8,8,11,8,7,8,8,5,9,5,7,6,9,8,6,6,7,9,7,,11,7,7,8,8,7,6,8,9,8,6,9,7,8,7,8,8,8,7,7,8,6,7,9,7,,7,,8,9,9,10,7,7,7,7,7,7,9,9,6,8,6,10,7,6,9,7,6,,7,8,6,7,,9,8,6,,9,,,7,,8,,,6,15,17,7,8,5,8,9,5,7,8,7,6,9,7,6,8,7,7,3,6,4,8,110,120,92.5,115.84,61,13,11,5,5,4,10,13,14,19,20,1,,,,4,0.135,-0.03,-0.081,-0.087,0.233,,6.3,4.096,1.458,0.091,2,2,1,2,2,1,4,1,2,2
8,1,12,5,8,4,8,10,3,2,9,12,5,6,10,5,5,5,,7,12,,11,7,5,3,5,5,12,3,8,11,6,8,7,7,10,6,6,12,6,4,9,9,4,,10,6,9,7,12,10,4,6,12,12,8,,10,5,8,11,5,3,6,,,,4,,10,9,8,,11,,,10,9,7,7,12,12,,12,10,12,12,7,,7,9,9,7,3,10,7,4,6,,12,16,12,3,4,17,6,10,5,7,8,2,7,8,6,4,10,3,4,7,8,4,6,122.5,162.5,,,90,15,11,17,14,13,15,18,20,18,29,3,5,3,2,1,,,,,,7.827,5.96,4.829,1.964,0.343,1,1,1,1,2,1,4,1,3,2
9,1,9.3,6,10,12,9.5,7,2.7,6,8.7,9,7,8.1,9.3,6,6.2,11,6.2,9.6,8.8,10,8.2,5,10,8.8,11,7,11,6.5,10,9.8,4,6,8,7.6,7,6.4,6,9,9.3,4,7,7,8,3.8,9.7,4,8.3,6,6,4,,7.9,9.9,8.5,7,6.6,10.8,6,,7.2,5,7,9,9.7,2.2,8.9,7.1,8,6.8,6,10,5,7.6,10,4.1,9,11,,7.5,7,7.5,10,7.6,9,11,9.3,8.9,9,6,6,5,5,6,7.2,7,9,6,9.1,9,,,4,8,7,12,6,4,6,5,5,9,7,7,5,12,6,8,6,7,8,4,152.5,182.5,,140.32,137,18,13,16,12,20,18,18,19,20,29,3,6,4,2,3,,,,,,6.577,5.7,4.563,1.619,-0.113,1,2,2,2,1,,,,,
10,1,7,6,8,9,9,9,8,9,6,7,7,7,11,2,8,8,6,7,7,8,7,6,7,7,11,6,10,7,9,7,7,10,7,6,5,10,7,7,8,8,7,6,7,7,,6,9,9,7,7,6,9,7,8,8,6,,11,6,6,4,7,,7,6,11,3,7,10,6,6,6,7,3,7,7,7,,9,7,,6,6,8,6,,8,9,6,,7,,,6,,6,,,,12,6,7,15,12,16,9,5,10,5,7,7,5,4,1,8,6,1,6,8,5,3,127.5,127.5,,141.68,81,16,14,17,17,18,16,15,20,20,18,1,,,,,-0.523,0.972,-0.204,0.438,0.501,,4.54,3.692,1.588,-0.332,1,1,1,2,,,1,,2,
11,1,9,9,9,8,7,8,6,7,8,9,10,9,10,8,7,7,8,7,10,9,10,9,9,7,8,7,8,9,8,10,9,8,9,8,9,8,10,10,8,7,8,7,7,7,8,7,10,8,8,9,7,8,9,9,8,8,8,6,7,8,6,7,7,8,7,9,5,9,7,10,10,8,8,10,7,8,8,8,7,8,,10,10,9,9,,8,9,8,,6,,,8,,7,,,7,11,19,7,12,12,17,3,3,8,7,3,6,7,6,5,6,6,9,10,9,8,6,100,112.5,107.5,122.64,79,13,5,9,10,11,14,15,20,18,31,4,6,4,1,4,,,,,,,4.76,5,0,0.578,,,,,,,,,,2
